value,Line #,Name,Description,Designator,Quantity,Footprint,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"82p","","cap","Capacitor","C1035, C2035","2","CAPC1005X06N","Murata","GRM1555C1H820JA01D","Volume Production","Digi-Key","490-5879-6-ND","0.98437","1.97"
"100n","","cap","Capacitor","C1033, C2033","2","CAPC1608X08N","Yageo","CC0603KRX7R9BB104","Volume Production","Digi-Key","311-1344-6-ND","0.98437","1.97"
"820p","","cap","Capacitor","C1034, C2034","2","CAPC1005X06N","Murata","GRM155R71H821KA01D","Volume Production","Digi-Key","490-3250-6-ND","0.98437","1.97"
"","","2x5","2x5 Header","J1, JG1000, JG1001, JG2000, JG2001","5","hdr_2x5_50mil","","","","","","",""
"","","Header 1x3","2.54mm pitch single row header","J4-7, JS1100-1102, JS1300-1302, JS1500-1502, JS1700-1702, JS2200-2202, JS2400-2402, JS2600-2602, JS2800-2802","28","HEADER_1x3_100MIL","","","","","","",""
"","","M3","Mounting hole","MH1-6","6","mount_m3_normal","","","","","","",""
"","","STUSB4500","Standalone USB PD sink controller with short-to-VBUS protections","U9","1","QFN50P400X400X100_HS-25N-STUSB4500","STMicroelectronics","STUSB4500QTR","Unknown","","","",""
"","","SWD","SWD Header","J2","1","hdr_2x5_50mil","","","","","","",""
"","","XT60PT-M","","P1, P2","2","XT60PT-M","","","","","","",""
"1K","","res","Resistor","R60","1","RESC2012X06N","","","","","","",""
"1K","","res","Resistor","R62, R1033, R1035, R1038, R2033, R2035, R2038","7","RESC1005X04N","","","","","","",""
"1K2","","res","Resistor","R1024, R2024","2","RESC1005X04N","","","","","","",""
"1M","","res","Resistor","R6, R7, R18, R22, R26, R31, R38, R69, R1040, R1041, R2040, R2041","12","RESC1005X04N","","","","","","",""
"1R21","","res","Resistor","R1030, R2030","2","RESC1005X04N","","","","","","",""
"1u","","cap","Capacitor","C17, C19, C20, C27, C42-45, C1045, C1051, C1054, C2045, C2051, C2054","14","CAPC2012X11N","Murata","GRM216R61E105KA12D","Volume Production","","","",""
"4K99","","res","Resistor","R1021, R2021","2","RESC1005X04N","","","","","","",""
"5K49","","res","Resistor","R25, R34, R1032, R1046, R2032, R2046","6","RESC1005X04N","","","","","","",""
"10K","","res","Resistor","R2, R5, R8-15, R17, R19-21, R29, R41-45, R48, R50, R52, R54, R72, R74, R1027, R1047, R1100-1105, R1300-1305, R1500-1505, R1700-1705, R2027, R2047, R2200-2205, R2400-2405, R2600-2605, R2800-2805","78","RESC1005X04N","","","","","","",""
"10R","","res","Resistor","R1042, R2042","2","RESC1005X04N","","","","","","",""
"12K","","res","Resistor","R1025, R2025","2","RESC1005X04N","","","","","","",""
"22K","","res","Resistor","R61","1","RESC1005X04N","","","","","","",""
"31K6","","res","Resistor","R27, R35, R1034, R1048, R2034, R2048","6","RESC1005X04N","","","","","","",""
"33K","","res","Resistor","R3, R49","2","RESC1005X04N","","","","","","",""
"39K7","","res","Resistor","R28, R37, R1037, R1050, R2037, R2050","6","RESC1005X04N","","","","","","",""
"65K","","res","Resistor","R1023, R2023","2","RESC1005X04N","","","","","","",""
"100K","","res","Resistor","R4, R57, R63, R64, R66, R1001, R1022, R1039, R1106, R1107, R1110, R1306, R1307, R1310, R1506, R1507, R1510, R1706, R1707, R1710, R2001, R2022, R2039, R2206, R2207, R2210, R2406, R2407, R2410, R2606, R2607, R2610, R2806, R2807, R2810","35","RESC1005X04N","","","","","","",""
"100R","","ferrite","Inductor","FB1, FB1000, FB1001, FB2000, FB2001","5","INDC1005X06N","","","","","","",""
"100R","","res","Resistor","R51, R53, R55, R56, R59, R1029, R2029","7","RESC1005X04N","","","","","","",""
"190K","","res","Resistor","R71, R73","2","RESC1005X04N","","","","","","",""
"220R","","res","Resistor","R39, R40","2","RESC1005X04N","","","","","","",""
"470K","","res","Resistor","R1, R46","2","RESC1005X04N","","","","","","",""
"470R","","res","Resistor","R58","1","RESC2012X06N","","","","","","",""
"920K","","res","Resistor","R24, R33, R1031, R1045, R2031, R2045","6","RESC1005X04N","","","","","","",""
"DNP","","cap","Capacitor","C7, C8, C39","3","CAPC1005X06N","","","","","","",""
"GREEN","","led","LED","D6, D1100, D1300, D1500, D1700, D2200, D2400, D2600, D2800","9","CAPCP1005X06N","","","","","","",""
"RED","","led","LED","D1102, D1302, D1502, D1702, D2202, D2402, D2602, D2802","8","CAPCP1005X06N","","","","","","",""
"YELLOW","","led","LED","D1101, D1301, D1501, D1701, D2201, D2401, D2601, D2801","8","CAPCP1005X06N","","","","","","",""
